"Date","Time","CO.GT.","PT08.S1.CO.","C6H6.GT.","PT08.S2.NMHC.","NOx.GT.","PT08.S3.NOx.","NO2.GT.","PT08.S4.NO2.","PT08.S5.O3.","T","RH","AH","NOx2","C6H6_2","NOx_RH","NOx_T","PAN_proxy","HONO_proxy","SAPRC_proxy"
"2004-03-11","04.00.00",0.5,1011,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465,441,1.69,1270.5,212.1,52.411362,67.622714,57.956621
"2004-03-11","05.00.00",0.7,1066,1.1,512,16,1918,28,1182,422,11,56.2,0.7366,256,1.21,899.2,176,50.259323,68.594872,55.728689
"2004-03-11","06.00.00",0.7,1052,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353,1156,2.56,1975.4,357,56.290628,71.121064,60.950404
"2004-03-11","07.00.00",1.1,1144,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417,9604,10.24,5840.8,999.6,78.328812,82.024952,80.499016
"2004-03-11","08.00.00",2,1333,8,900,174,1136,112,1517,1102,10.8,57.4,0.7408,30276,64,9987.6,1879.2,107.25222,97.174264,109.6472
"2004-03-11","09.00.00",2.2,1351,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691,16641,90.25,7817.4,1354.5,97.97617,86.662034,104.103725
"2004-03-11","10.00.00",1.7,1233,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552,12544,39.69,6540.8,1209.6,87.834547,85.017952,92.146721
"2004-03-11","11.00.00",1.5,1179,5,762,95,1328,92,1362,671,10.5,57.9,0.7352,9025,25,5500.5,997.5,78.523675,82.46203,82.111
"2004-03-11","12.00.00",1.6,1236,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951,10816,27.04,6947.2,988,80.626392,78.467032,83.828236
"2004-03-11","13.00.00",1.9,1286,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393,21316,53.29,11154.4,1211.8,94.579167,78.825796,97.211461
"2004-03-11","14.00.00",2.9,1371,11.5,1034,207,983,128,1730,1037,8,81.1,0.8736,42849,132.25,16787.7,1656,114.59413,84.030432,116.947025
"2004-03-11","15.00.00",2.2,1310,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778,33856,77.44,14683.2,1527.2,106.545912,81.61856,108.395196
"2004-03-11","16.00.00",2.2,1292,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569,37249,68.89,13741.6,1872.1,107.809882,89.34357,108.513301
"2004-03-11","17.00.00",2.9,1383,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,59049,125.44,16426.8,2381.4,122.087447,100.767084,122.256896
"2004-03-11","18.00.00",4.8,1581,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065,78961,432.64,18040.2,2894.3,135.105647,110.163614,136.107876
"2004-03-11","19.00.00",6.9,1776,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319,146689,750.76,26541.9,3715.1,151.719123,121.965278,148.262184
"2004-03-11","20.00.00",6.1,1640,24,1404,351,743,165,2191,1654,9.6,67.8,0.8133,123201,576,23797.8,3369.6,149.701695,118.707872,148.6966
"2004-03-11","21.00.00",3.9,1313,12.8,1076,240,957,136,1707,1285,9.1,64,0.7419,57600,163.84,15360,2184,126.626912,104.53676,128.828556
"2004-03-11","22.00.00",1.5,965,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905,8836,22.09,5959.6,770.8,81.999207,79.981248,86.902681
"2004-03-11","23.00.00",1,913,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657,2209,6.76,2857.6,385.4,62.959723,73.138812,68.453084
"2004-03-12","00.00.00",1.7,1080,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438,14884,34.81,7137,1012.6,88.880463,88.571424,92.425029
"2004-03-12","01.00.00",1.9,1044,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308,17689,40.96,7940.1,1024.1,92.080383,90.16721,95.396364
"2004-03-12","02.00.00",1.4,988,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,6724,16.81,5067.6,582.2,75.935063,79.591484,80.807429
"2004-03-12","03.00.00",0.8,889,1.9,574,45,1680,48,1187,512,7,62.3,0.6261,2025,3.61,2803.5,315,60.790898,72.52426,65.803849
"2004-03-12","04.00.00",0.5,831,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248,441,1.21,1383.9,128.1,51.450298,66.591418,57.364389
"2004-03-12","05.00.00",0.6,847,1,501,30,1895,44,1155,394,6.3,65,0.6233,900,1,1950,189,53.4644,68.60346,58.395
"2004-03-12","06.00.00",0.8,927,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234,3136,3.24,3522.4,380.8,62.443252,74.288836,66.217916
"2004-03-12","07.00.00",1.4,1091,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316,11881,19.36,7095.9,697.6,83.316743,82.674568,86.702824
"2004-03-12","08.00.00",4.4,1587,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499,94249,320.41,19371.7,2241.1,141.005418,119.397126,141.946069
"2004-03-12","09.00.00",4,1545,22.1,1353,275,767,114,2058,1588,9.2,56.2,0.6561,75625,488.41,15455,2530,137.717938,118.8218,140.020569
"2004-03-12","10.00.00",3.1,1350,14,1118,187,912,122,1712,1237,13.2,41.7,0.632,34969,196,7797.9,2468.4,115.380255,111.27732,119.7558
"2004-03-12","11.00.00",2.7,1263,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243,46656,134.56,8294.4,3088.8,118.084128,119.432776,119.227804
"2004-03-12","12.00.00",2.1,1206,10.2,986,143,1035,113,1537,959,15,36.5,0.6195,20449,104.04,5219.5,2145,98.611027,104.73602,102.525036
"2004-03-12","13.00.00",2.5,1252,11,1016,160,1008,116,1593,983,16.1,34.5,0.6262,25600,121,5520,2576,102.6755,109.17254,105.6116
"2004-03-12","14.00.00",2.7,1287,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.656,26569,163.84,5819.1,2656.9,105.774567,108.664162,109.601956
"2004-03-12","15.00.00",2.9,1353,14.2,1122,190,922,126,1740,1139,15.8,37,0.661,36100,201.64,7030,3002,113.108752,113.76328,116.101476
"2004-03-12","16.00.00",2.8,1309,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657,31684,161.29,6621.6,2830.2,109.877127,110.941044,113.062861
"2004-03-12","17.00.00",2.4,1274,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549,22500,136.89,5145,2535,101.170127,106.5206,104.980901
"2004-03-12","18.00.00",3.9,1510,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766,42436,372.49,8157.6,3110.6,121.890327,115.44182,125.968341
"2004-03-12","19.00.00",3.7,1525,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084,40804,331.24,8766.8,2908.8,122.613112,111.78268,127.436316
"2004-03-12","20.00.00",6.6,1843,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478,115600,1062.76,17170,4386,140.583068,133.36034,134.334384
"2004-03-12","21.00.00",4.4,1598,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536,75076,404.01,14604.2,3315.4,139.154063,118.520648,141.534909
"2004-03-12","22.00.00",3.5,1484,14.3,1127,253,839,139,1723,1491,11,59.1,0.774,64009,204.49,14952.3,2783,133.713762,109.802228,136.445441
"2004-03-12","23.00.00",5.4,1677,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771,90000,475.24,19380,2910,143.592332,113.6774,145.202016
"2004-03-13","00.00.00",2.7,1280,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597,37249,92.16,12371.3,1833.5,116.596543,95.861238,120.119044
"2004-03-13","01.00.00",1.9,1196,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423,19321,54.76,8882.1,1264.9,101.353163,86.934562,106.517584
"2004-03-13","02.00.00",1.6,1184,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256,6889,29.16,5303.7,730.4,85.701243,77.307968,93.355444
"2004-03-13","03.00.00",1.7,1172,5.4,783,122,1179,104,1380,996,7.8,67.5,0.7173,14884,29.16,8235,951.6,92.720168,82.201564,97.107444
"2004-03-13","04.00.00",1.7,1147,6.2,821,109,1132,83,1412,992,7,71.1,0.7158,11881,38.44,7749.9,763,91.035987,77.932324,97.249996
"2004-03-13","05.00.00",1,978,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982,3844,6.76,3943.2,514.6,72.497448,74.086956,78.233784
"2004-03-13","06.00.00",1.2,1100,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887,2809,8.41,3577.5,381.6,71.608218,70.726264,78.830569
"2004-03-13","07.00.00",1.5,1112,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932,19321,26.01,9994.1,875.7,94.708938,82.813114,97.564109
"2004-03-13","08.00.00",2.7,1336,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945,65536,139.24,18329.6,1664,127.355652,102.310776,128.433216
"2004-03-13","09.00.00",3.7,1408,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124,87025,228.01,17611.5,2832,139.191818,118.32432,139.960009
"2004-03-13","10.00.00",3.2,1447,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335,62500,166.41,12800,3100,132.008663,115.7804,134.036169
"2004-03-13","11.00.00",4.1,1542,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451,87616,259.21,12491.2,4617.6,142.218523,130.905656,142.688089
"2004-03-13","12.00.00",3.6,1451,14,1117,239,875,161,1679,1387,18.4,33.8,0.709,57121,196,8078.2,4397.6,127.273895,124.763376,128.2442
"2004-03-13","13.00.00",2.8,1328,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695,23409,151.29,4788.9,2968.2,104.021202,107.607372,107.894361
"2004-03-13","14.00.00",2,1207,8.6,924,118,1088,102,1488,850,18,34.8,0.7127,13924,73.96,4106.4,2124,89.394408,98.440704,92.965164
"2004-03-13","15.00.00",2,1240,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042,14161,84.64,3998.4,2189.6,92.259447,99.257648,96.598376
"2004-03-13","16.00.00",2.5,1306,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012,19044,104.04,4843.8,2428.8,99.940552,102.7657,104.338236
"2004-03-13","17.00.00",2.3,1326,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117,21904,112.36,5594.4,2471.6,102.439428,103.441688,106.539624
"2004-03-13","18.00.00",3.2,1473,15.5,1163,227,831,148,1779,1395,16.1,41,0.7451,51529,240.25,9307,3654.7,125.93133,117.525958,128.435925
"2004-03-13","19.00.00",4.2,1609,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569,76729,384.16,11744.8,4376.6,138.796743,126.604972,140.134944
"2004-03-13","20.00.00",4.2,1611,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786,77841,368.64,12303.9,4380.3,141.349647,125.305206,143.200076
"2004-03-13","21.00.00",4.2,1621,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091,80089,334.89,13244.4,4329.9,146.924482,123.64407,149.941901
"2004-03-13","22.00.00",3.1,1444,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.806,45796,171.61,10400.4,3124.4,129.056743,109.17656,133.589249
"2004-03-13","23.00.00",2.6,1418,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193,29584,118.81,8479.6,2528.4,118.351363,100.393652,124.180429
"2004-03-14","00.00.00",2.9,1534,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498,36100,121,10184,2641,121.905,100.73558,126.7762
"2004-03-14","01.00.00",2.8,1484,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536,30276,141.61,8961,2540.4,119.056143,98.982476,125.140249
"2004-03-14","02.00.00",2.5,1367,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537,16384,73.96,7539.2,1600,104.087708,86.301932,111.221664
"2004-03-14","03.00.00",2.4,1344,9.7,968,193,921,113,1620,1278,11.6,63.4,0.8674,37249,94.09,12236.2,2238.8,116.070242,94.602904,119.095281
"2004-03-14","04.00.00",1.5,1130,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603,4900,27.04,4277,847,82.282972,74.8562,90.172436
"2004-03-14","05.00.00",1.2,1062,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533,2809,13.69,3344.3,609.5,74.058722,71.022358,81.583221
"2004-03-14","06.00.00",1,1076,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473,1936,6.25,2736.8,510.4,69.098995,69.960344,75.940825
"2004-03-14","07.00.00",0.9,1028,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853,5476,5.76,5002.4,769.6,75.122788,72.352688,79.287584
"2004-03-14","08.00.00",1.4,1155,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,10201,17.64,6332.7,1171.6,85.416347,79.444656,89.337476
"2004-03-14","09.00.00",1.6,1235,6.4,828,118,1055,83,1527,1093,12.4,60,0.8627,13924,40.96,7080,1463.2,94.363108,83.788528,99.329264
"2004-03-14","10.00.00",2.2,1332,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728,20736,73.96,7646.4,2088,104.161148,92.180964,108.911664
"2004-03-14","11.00.00",2.8,1445,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789,30976,118.81,8113.6,2974.4,114.353003,102.023532,118.259829
"2004-03-14","12.00.00",2.8,1416,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474,25921,114.49,6166.3,3107.3,108.707202,103.62849,112.399541
"2004-03-14","13.00.00",2,1281,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812,12769,56.25,3548.2,2395.6,89.93273,97.617496,93.247025
"2004-03-14","14.00.00",1.8,1207,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616,10609,56.25,3110.6,2204.2,85.29873,96.215444,88.708425
"2004-03-14","15.00.00",1.9,1258,8.2,906,112,1081,107,1511,900,21.9,29,0.7525,12544,67.24,3248,2452.8,88.277812,98.663392,91.456216
"2004-03-14","16.00.00",3,1458,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516,28900,141.61,4828,3774,106.507623,111.38684,108.359449
"2004-03-14","17.00.00",2.9,1438,12,1051,180,943,128,1668,1206,21.3,30.8,0.7696,32400,144,5544,3834,111.1574,112.2408,113.2537
"2004-03-14","18.00.00",2.5,1478,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307,25600,148.84,5872,3152,109.101812,104.4205,113.368256
"2004-03-14","19.00.00",4.6,1808,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732,68121,424.36,10883.7,4802.4,137.103043,121.318248,138.930324
"2004-03-14","20.00.00",5.9,1898,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.921,105625,533.61,14982.5,5720,150.868098,129.8334,150.717049
"2004-03-14","21.00.00",3.4,1560,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932,47089,216.09,10763.2,3623.9,130.017442,106.806478,134.394781
"2004-03-14","22.00.00",2.1,1324,9,940,146,924,121,1587,1423,16.3,51,0.9341,21316,81,7446,2379.8,109.19492,92.816252,114.823
"2004-03-14","23.00.00",2.2,1349,8.8,933,152,933,119,1617,1349,14.7,55.9,0.9314,23104,77.44,8496.8,2234.4,108.773472,91.228404,113.777996
"2004-03-15","00.00.00",1.8,1239,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164,10816,54.76,5688.8,1539.2,95.742588,83.479516,102.937484
"2004-03-15","01.00.00",1.8,1239,6.9,853,106,1010,93,1543,1174,14,57,0.9094,11236,47.61,6042,1484,94.039543,82.74068,100.448449
"2004-03-15","02.00.00",1.8,1224,7,855,108,998,88,1566,1149,13.4,61.3,0.9361,11664,49,6620.4,1447.2,94.06538,80.414772,100.3709
"2004-03-15","03.00.00",1.1,1078,4.4,734,70,1128,82,1487,1021,12.6,63.5,0.923,4900,19.36,4445,882,80.519748,73.01878,87.427224
"2004-03-15","04.00.00",1.2,1078,4,711,66,1150,71,1468,1013,12.3,65.4,0.9351,4356,16,4316.4,811.8,79.04622,71.320316,85.9815
"2004-03-15","05.00.00",1,1075,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375,7744,15.21,5931.2,1047.2,83.521883,73.83384,88.512589
"2004-03-15","06.00.00",1.4,1157,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475,19044,40.96,9729,1573.2,98.289508,79.856468,101.892264
"2004-03-15","07.00.00",2.2,1314,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401,51984,94.09,16005.6,2576.4,121.435267,94.296232,122.173181
"2004-03-15","08.00.00",5.5,1797,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917,129600,670.81,23004,4464,149.095083,121.3515,146.359129
"2004-03-15","09.00.00",8.1,1961,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076,228484,1346.89,25955.4,7074.4,157.691007,151.39066,145.613201
"2004-03-15","10.00.00",5.8,1771,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.8993,155236,707.56,17966.4,6855.6,159.173728,143.918568,155.793204
"2004-03-15","11.00.00",4.2,1564,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.8801,101761,404.01,12281.5,6316.2,148.991538,134.772788,148.698809
"2004-03-15","12.00.00",3.1,1430,14.1,1120,201,831,134,1783,1522,22,34.1,0.8904,40401,198.81,6854.1,4422,122.980778,113.067616,126.139529
"2004-03-15","13.00.00",2.9,1417,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096,29241,222.01,5506.2,3984.3,114.415338,107.453574,118.634509
"2004-03-15","14.00.00",2.9,1400,15.4,1162,159,838,111,1829,1263,23.9,30,0.8757,25281,237.16,4770,3800.1,108.670283,106.317154,112.779344
"2004-03-15","15.00.00",2.5,1317,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736,23409,146.41,4421.7,3733.2,103.795818,105.56216,106.617169
"2004-03-15","16.00.00",2.3,1318,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.8848,20449,132.25,4204.2,3489.2,99.97113,103.0766,102.867825
"2004-03-15","17.00.00",2.8,1445,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.9137,24336,219.04,4882.8,3712.8,107.830192,104.7113,112.014136
"2004-03-15","18.00.00",6.1,1917,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547,98596,1030.41,11115.6,7065,134.473983,134.076676,127.055469
"2004-03-15","19.00.00",8,2040,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086,163216,1536.64,17170,8241.6,139.018272,145.694564,122.624176
"2004-03-15","20.00.00",6.5,1895,31,1573,320,565,165,2443,1992,18.3,52.6,1.0945,102400,961,16832,5856,141.7933,120.54696,137.123
"2004-03-15","21.00.00",4.2,1595,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.0786,65536,396.01,14694.4,4275.2,137.182163,106.084432,139.854909
"2004-03-15","22.00.00",3.2,1439,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.0654,37249,234.09,11618.6,3030.1,122.216842,93.78281,127.440981
"2004-03-15","23.00.00",1.4,1142,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,7921,47.61,5464.6,1361.7,90.062018,75.899234,97.515549
"2004-03-16","00.00.00",2.1,1304,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.0494,16129,123.21,8343.9,1790.7,103.576058,79.794822,111.266189
"2004-03-16","01.00.00",1.2,1074,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.0148,6241,29.16,4787.4,1169.2,83.585883,75.084472,90.123444
"2004-03-16","02.00.00",0.8,968,2.8,640,43,1320,61,1386,867,14.8,59.2,0.9879,1849,7.84,2545.6,636.4,68.545167,69.859032,74.976056
"2004-03-16","03.00.00",0.7,929,2.3,608,88,1376,71,1364,826,13.6,62.1,0.9636,7744,5.29,5464.8,1196.8,76.599827,76.34458,78.507361
"2004-03-16","04.00.00",0.8,941,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945,3481,6.76,3905.8,725.7,71.552363,69.674546,76.728784
"2004-03-16","05.00.00",0.6,937,2,585,38,1412,52,1348,793,12.8,63.2,0.9283,1444,4,2401.6,486.4,64.94338,67.729792,71.0712
"2004-03-16","06.00.00",0.9,1017,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081,6724,12.25,5617,918.4,78.565255,72.570156,83.006425
"2004-03-16","07.00.00",1.3,1171,5.1,770,99,1162,70,1467,930,11,66.5,0.8705,9801,26.01,6583.5,1089,85.521138,76.83722,90.342009
"2004-03-16","08.00.00",3.4,1541,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.8719,69169,262.44,16753.1,3077.1,133.321547,106.09431,135.143496
"2004-03-16","09.00.00",3.7,1539,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743,52441,388.09,12892.7,3114.4,128.445482,105.616568,132.089881
"2004-03-16","10.00.00",5.3,1735,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.8672,156816,630.01,16988.4,7048.8,158.022563,147.272916,154.540209
"2004-03-16","11.00.00",4.1,1571,20,1297,314,730,162,1973,1729,21.4,33.3,0.8417,98596,400,10456.2,6719.6,146.28482,137.783636,145.3838
"2004-03-16","12.00.00",3.3,1452,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231,47089,334.89,5945.8,5294.8,126.489882,120.35196,128.834601
"2004-03-16","13.00.00",4,1579,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264,63504,497.29,6577.2,6375.6,132.388227,128.154036,132.381061
"2004-03-16","14.00.00",3.8,1466,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.7589,69169,416.16,6101.6,6785.4,131.134343,132.960252,129.837744
"2004-03-16","15.00.00",2.8,1280,14.6,1136,180,893,128,1675,1240,27,20.2,0.7094,32400,213.16,3636,4860,111.434988,116.49316,113.087444
"2004-03-16","16.00.00",2.9,1407,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014,33856,275.56,3422.4,5188.8,113.641428,117.724056,115.440004
"2004-03-16","17.00.00",2.9,1389,15.8,1173,190,898,133,1739,1363,28,19.1,0.7098,36100,249.64,3629,5320,116.053952,118.78274,117.756076
"2004-03-16","18.00.00",3.4,1447,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519,33856,316.84,4728.8,4397.6,113.870132,115.277052,116.618856
"2004-03-16","19.00.00",3.9,1551,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873,32761,364.81,6298.8,3855.3,116.636178,108.98061,120.964029
"2004-03-16","20.00.00",3.2,1474,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704,27556,249.64,6092.2,3386.4,114.728472,105.067268,120.288876
"2004-03-16","21.00.00",5.1,1800,24.9,1426,317,700,177,2106,2034,19,41.3,0.9007,100489,620.01,13092.1,6023,150.678298,132.124836,150.493609
"2004-03-16","22.00.00",2.6,1379,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342,33856,182.25,8445.6,3293.6,122.465595,102.86282,128.043325
"2004-03-16","23.00.00",1.7,1201,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226,16900,82.81,6357,2171,104.597183,91.18256,111.007029
"2004-03-17","00.00.00",1.7,1205,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271,17424,73.96,6982.8,2046,103.725108,89.379828,109.686664
"2004-03-17","01.00.00",1.2,1072,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059,9025,29.16,4930.5,1472.5,88.513363,83.34033,93.969344
"2004-03-17","02.00.00",0.9,998,4.1,714,70,1169,79,1383,992,14.1,55.6,0.891,4900,16.81,3892,987,79.152583,77.1977,85.254429
"2004-03-17","03.00.00",0.7,933,2.6,625,59,1292,61,1332,884,13.1,57.9,0.8666,3481,6.76,3416.1,772.9,72.437963,74.361522,77.694384
"2004-03-17","04.00.00",0.7,883,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447,2916,3.61,3126.6,685.8,68.615743,73.695168,73.247749
"2004-03-17","05.00.00",0.5,869,1.6,554,28,1460,40,1268,667,11.8,58,0.8026,784,2.56,1624,330.4,59.358088,69.436656,65.498504
"2004-03-17","06.00.00",0.5,891,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978,2116,3.61,2640.4,547.4,65.276343,72.99058,70.384149
"2004-03-17","07.00.00",1.6,1173,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956,25600,56.25,10432,1584,103.156675,88.88948,106.099925
"2004-03-17","08.00.00",4.1,1587,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958,102400,457.96,19264,3552,143.854628,120.49952,143.697464
"2004-03-17","09.00.00",6.6,1852,36.4,1696,377,553,127,2535,1931,14.1,50,0.802,142129,1324.96,18850,5315.7,138.858783,139.525178,127.200764
"2004-03-17","10.00.00",4.3,1522,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048,78400,453.69,11228,4956,140.867267,127.56382,142.025621
"2004-03-17","11.00.00",2.9,1438,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265,48841,237.16,7381.4,4663.1,128.613683,118.687918,131.481744
"2004-03-17","12.00.00",2.5,1393,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471,44100,156.25,5943,5103,123.009775,118.1266,124.425725
"2004-03-17","13.00.00",2.8,1452,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254,41616,228.01,5222.4,5222.4,122.561363,118.1336,124.771009
"2004-03-17","14.00.00",2.6,1389,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,25921,187.69,4169.9,4169.9,110.170362,108.48955,113.768621
"2004-03-17","15.00.00",2,1207,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.65,18225,108.16,2524.5,3618,96.822263,107.88884,99.119544
